study_name,sample_number,species,region,stage,individual_id,clutch_completion,date_egg,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,delta_15_n_o_oo,delta_13_c_o_oo,comments,year,mass_range
PAL0910,111,Gentoo,Anvers,"Adult, 1 Egg Stage",N32A1,Yes,2009-11-20,50.5,15.2,216,5000,Female,8.24691,-26.18466,NA,2009,chonk penguin
PAL0910,112,Gentoo,Anvers,"Adult, 1 Egg Stage",N32A2,Yes,2009-11-20,49.8,15.9,229,5950,Male,8.29226,-26.21019,NA,2009,chonk penguin
PAL0910,113,Gentoo,Anvers,"Adult, 1 Egg Stage",N34A1,Yes,2009-11-27,43.5,15.2,213,4650,Female,8.21634,-26.11046,NA,2009,chonk penguin
PAL0910,114,Gentoo,Anvers,"Adult, 1 Egg Stage",N34A2,Yes,2009-11-27,51.5,16.3,230,5500,Male,8.78557,-25.76147,NA,2009,chonk penguin
PAL0910,115,Gentoo,Anvers,"Adult, 1 Egg Stage",N35A1,Yes,2009-11-25,46.2,14.1,217,4375,Female,8.30231,-25.96013,NA,2009,mid penguin
PAL0910,116,Gentoo,Anvers,"Adult, 1 Egg Stage",N35A2,Yes,2009-11-25,55.1,16,230,5850,Male,8.08354,-26.18161,NA,2009,chonk penguin
PAL0910,117,Gentoo,Anvers,"Adult, 1 Egg Stage",N36A1,Yes,2009-12-01,44.5,15.7,217,4875,NA,8.04111,-26.18444,Sexing primers did not amplify.,2009,chonk penguin
PAL0910,118,Gentoo,Anvers,"Adult, 1 Egg Stage",N36A2,Yes,2009-12-01,48.8,16.2,222,6000,Male,8.33825,-25.88547,NA,2009,chonk penguin
PAL0910,119,Gentoo,Anvers,"Adult, 1 Egg Stage",N38A1,No,2009-12-01,47.2,13.7,214,4925,Female,7.99184,-26.20538,Nest never observed with full clutch.,2009,chonk penguin
PAL0910,120,Gentoo,Anvers,"Adult, 1 Egg Stage",N38A2,No,2009-12-01,NA,NA,NA,NA,NA,NA,NA,Adult not sampled. Nest never observed with full clutch.,2009,NA
PAL0910,121,Gentoo,Anvers,"Adult, 1 Egg Stage",N39A1,Yes,2009-11-22,46.8,14.3,215,4850,Female,8.41151,-26.13832,NA,2009,chonk penguin
PAL0910,122,Gentoo,Anvers,"Adult, 1 Egg Stage",N39A2,Yes,2009-11-22,50.4,15.7,222,5750,Male,8.30166,-26.04117,NA,2009,chonk penguin
PAL0910,123,Gentoo,Anvers,"Adult, 1 Egg Stage",N43A1,Yes,2009-11-22,45.2,14.8,212,5200,Female,8.24246,-26.11969,NA,2009,chonk penguin
PAL0910,124,Gentoo,Anvers,"Adult, 1 Egg Stage",N43A2,Yes,2009-11-22,49.9,16.1,213,5400,Male,8.3639,-26.15531,NA,2009,chonk penguin
